strain	median
AB1	-9.22337203685477e+18
BRC20067	-9.22337203685477e+18
CB4852	-9.22337203685477e+18
CB4854	-9.22337203685477e+18
CB4856	-1.213
CB4932	-9.22337203685477e+18
CX11254	-0.023574
CX11262	-0.0018961
CX11264	-9.22337203685477e+18
CX11271	-0.23023
CX11276	-9.22337203685477e+18
CX11285	-0.0039074
CX11292	-9.22337203685477e+18
CX11307	-0.0026334
CX11314	-9.22337203685477e+18
CX11315	-1.0666
DL200	-9.22337203685477e+18
DL226	-9.22337203685477e+18
DL238	-9.22337203685477e+18
ECA246	-9.22337203685477e+18
ECA248	-9.22337203685477e+18
ECA250	-0.78623
ECA251	-9.22337203685477e+18
ECA252	-9.22337203685477e+18
ECA259	-0.017258
ECA348	0.00070045
ECA349	-9.22337203685477e+18
ECA36	-0.0013074
ECA363	-0.0032446
ECA372	-9.22337203685477e+18
ECA396	-0.0023205
ED3005	-9.22337203685477e+18
ED3011	-9.22337203685477e+18
ED3012	-9.22337203685477e+18
ED3017	-9.22337203685477e+18
ED3040	-9.22337203685477e+18
ED3046	-9.22337203685477e+18
ED3048	-9.22337203685477e+18
ED3049	-9.22337203685477e+18
ED3052	-9.22337203685477e+18
ED3073	-9.22337203685477e+18
ED3077	-9.22337203685477e+18
EG4347	-9.22337203685477e+18
EG4349	-9.22337203685477e+18
EG4724	-9.22337203685477e+18
EG4725	-9.22337203685477e+18
EG4946	-9.22337203685477e+18
GXW1	-9.22337203685477e+18
JT11398	-9.22337203685477e+18
JU1088	-9.22337203685477e+18
JU1172	-0.0095171
JU1200	-9.22337203685477e+18
JU1212	-9.22337203685477e+18
JU1213	-9.22337203685477e+18
JU1242	-9.22337203685477e+18
JU1246	-9.22337203685477e+18
JU1395	-9.22337203685477e+18
JU1400	-0.26097
JU1409	-0.013511
JU1440	-9.22337203685477e+18
JU1491	-9.22337203685477e+18
JU1530	-9.22337203685477e+18
JU1543	-9.22337203685477e+18
JU1568	-9.22337203685477e+18
JU1580	-0.10554
JU1581	-0.17679
JU1586	-9.22337203685477e+18
